session_id,station_id,location_type,user_id,start_time,end_time,duration_hours,energy_kwh,charger_kw,start_hour,day_of_week,day_of_week_num,is_weekend,month,date,season
S0000116,STN_021,Office_Park,U00360,2023-01-01 10:40:00,2023-01-01 13:11:57.331265,2.53,14.35,7,10,Sunday,6,True,1,2023-01-01,Winter
S0000130,STN_023,Downtown,U03089,2023-01-01 10:47:00,2023-01-01 12:54:14.402934,2.12,9.26,11,10,Sunday,6,True,1,2023-01-01,Winter
S0000043,STN_012,Highway_Rest_Stop,U03065,2023-01-01 10:50:00,2023-01-01 13:12:16.317773,2.37,73.08,50,10,Sunday,6,True,1,2023-01-01,Winter
S0000113,STN_020,Office_Park,U00117,2023-01-01 10:51:00,2023-01-01 12:39:32.237212,1.81,23.67,22,10,Sunday,6,True,1,2023-01-01,Winter
S0000133,STN_023,Downtown,U02578,2023-01-01 10:54:00,2023-01-01 11:48:26.392412,0.91,7.15,11,10,Sunday,6,True,1,2023-01-01,Winter
S0000109,STN_019,Highway_Rest_Stop,U01278,2023-01-01 10:54:00,2023-01-01 12:18:11.520877,1.4,6.2,7,10,Sunday,6,True,1,2023-01-01,Winter
S0000141,STN_024,Highway_Rest_Stop,U02694,2023-01-01 11:02:00,2023-01-01 12:01:42.991535,1.0,100.96,150,11,Sunday,6,True,1,2023-01-01,Winter
S0000058,STN_014,Residential,U03453,2023-01-01 11:06:00,2023-01-01 13:04:46.916730,1.98,11.07,7,11,Sunday,6,True,1,2023-01-01,Winter
S0000114,STN_020,Office_Park,U02119,2023-01-01 11:19:00,2023-01-01 14:03:58.500358,2.75,105.94,50,11,Sunday,6,True,1,2023-01-01,Winter
S0000005,STN_001,Downtown,U03838,2023-01-01 11:22:00,2023-01-01 12:46:48.356336,1.41,16.51,22,11,Sunday,6,True,1,2023-01-01,Winter
S0000137,STN_024,Highway_Rest_Stop,U00188,2023-01-01 11:23:00,2023-01-01 13:13:14.901973,1.84,8.9,7,11,Sunday,6,True,1,2023-01-01,Winter
S0000014,STN_004,Office_Park,U03399,2023-01-01 11:35:00,2023-01-01 13:43:22.621480,2.14,14.36,11,11,Sunday,6,True,1,2023-01-01,Winter
S0000044,STN_012,Highway_Rest_Stop,U02390,2023-01-01 11:37:00,2023-01-01 12:48:56.649625,1.2,11.9,22,11,Sunday,6,True,1,2023-01-01,Winter
S0000041,STN_011,Office_Park,U00661,2023-01-01 11:38:00,2023-01-01 13:48:34.446582,2.18,8.97,7,11,Sunday,6,True,1,2023-01-01,Winter
S0000098,STN_018,Downtown,U03118,2023-01-01 11:40:00,2023-01-01 12:38:33.392918,0.98,25.57,50,11,Sunday,6,True,1,2023-01-01,Winter
S0000040,STN_011,Office_Park,U02744,2023-01-01 11:46:00,2023-01-01 16:10:20.456982,4.41,26.29,11,11,Sunday,6,True,1,2023-01-01,Winter
S0000129,STN_023,Downtown,U00141,2023-01-01 11:59:00,2023-01-01 13:29:16.608531,1.5,11.79,22,11,Sunday,6,True,1,2023-01-01,Winter
S0000003,STN_001,Downtown,U03602,2023-01-01 12:05:00,2023-01-01 12:58:20.893719,0.89,4.21,11,12,Sunday,6,True,1,2023-01-01,Winter
S0000018,STN_005,Office_Park,U00811,2023-01-01 12:06:00,2023-01-01 13:12:47.236445,1.11,28.3,50,12,Sunday,6,True,1,2023-01-01,Winter
S0000016,STN_004,Office_Park,U00476,2023-01-01 12:08:00,2023-01-01 13:06:43.805783,0.98,4.7,7,12,Sunday,6,True,1,2023-01-01,Winter
S0000120,STN_023,Downtown,U03105,2023-01-01 12:19:00,2023-01-01 14:26:25.076880,2.12,19.3,22,12,Sunday,6,True,1,2023-01-01,Winter
S0000107,STN_019,Highway_Rest_Stop,U03444,2023-01-01 12:33:00,2023-01-01 14:50:57.622009,2.3,65.44,50,12,Sunday,6,True,1,2023-01-01,Winter
S0000096,STN_018,Downtown,U01052,2023-01-01 12:37:00,2023-01-01 14:00:55.648884,1.4,5.95,7,12,Sunday,6,True,1,2023-01-01,Winter
S0000089,STN_017,Office_Park,U03211,2023-01-01 13:16:00,2023-01-01 14:19:43.311659,1.06,19.65,22,13,Sunday,6,True,1,2023-01-01,Winter
S0000094,STN_018,Downtown,U02959,2023-01-01 13:40:00,2023-01-01 14:26:31.818524,0.78,30.35,50,13,Sunday,6,True,1,2023-01-01,Winter
S0000117,STN_021,Office_Park,U02825,2023-01-01 14:00:00,2023-01-01 16:54:20.374687,2.91,8.24,7,14,Sunday,6,True,1,2023-01-01,Winter
S0000140,STN_024,Highway_Rest_Stop,U00512,2023-01-01 14:11:00,2023-01-01 15:36:38.532825,1.43,7.53,11,14,Sunday,6,True,1,2023-01-01,Winter
S0000101,STN_018,Downtown,U02553,2023-01-01 14:20:00,2023-01-01 15:04:35.912580,0.74,31.57,50,14,Sunday,6,True,1,2023-01-01,Winter
S0000121,STN_023,Downtown,U00486,2023-01-01 15:08:00,2023-01-01 16:04:43.658979,0.95,4.0,7,15,Sunday,6,True,1,2023-01-01,Winter
S0000037,STN_009,Mall,U03795,2023-01-01 15:10:00,2023-01-02 01:01:34.727468,7.010000000000001,43.87,7,15,Sunday,6,True,1,2023-01-01,Winter
S0000127,STN_023,Downtown,U03006,2023-01-01 15:15:00,2023-01-01 16:20:50.754798,1.1,13.23,22,15,Sunday,6,True,1,2023-01-01,Winter
S0000108,STN_019,Highway_Rest_Stop,U02686,2023-01-01 15:28:00,2023-01-01 19:19:41.112190,3.86,64.34,22,15,Sunday,6,True,1,2023-01-01,Winter
S0000142,STN_024,Highway_Rest_Stop,U01251,2023-01-01 15:29:00,2023-01-01 16:02:45.423838,0.56,3.08,11,15,Sunday,6,True,1,2023-01-01,Winter
S0000139,STN_024,Highway_Rest_Stop,U03902,2023-01-01 15:45:00,2023-01-01 17:39:58.627284,1.92,9.51,11,15,Sunday,6,True,1,2023-01-01,Winter
S0000074,STN_016,Residential,U01798,2023-01-01 16:07:00,2023-01-01 16:25:27.623294,0.31,39.12,150,16,Sunday,6,True,1,2023-01-01,Winter
S0000012,STN_002,Residential,U03174,2023-01-01 16:38:00,2023-01-01 18:53:25.899916,2.26,10.17,7,16,Sunday,6,True,1,2023-01-01,Winter
S0000045,STN_012,Highway_Rest_Stop,U02487,2023-01-01 16:41:00,2023-01-01 18:18:30.594096,1.63,14.21,22,16,Sunday,6,True,1,2023-01-01,Winter
S0000011,STN_001,Downtown,U00379,2023-01-01 16:43:00,2023-01-01 18:48:42.393502,2.1,29.59,22,16,Sunday,6,True,1,2023-01-01,Winter
S0000052,STN_013,Residential,U01252,2023-01-01 16:45:00,2023-01-01 18:53:34.794037,2.14,11.96,11,16,Sunday,6,True,1,2023-01-01,Winter
S0000057,STN_014,Residential,U00173,2023-01-01 16:59:00,2023-01-01 18:51:57.077736,1.88,15.91,11,16,Sunday,6,True,1,2023-01-01,Winter
S0000093,STN_018,Downtown,U03726,2023-01-01 17:02:00,2023-01-01 17:41:45.897718,0.66,1.88,7,17,Sunday,6,True,1,2023-01-01,Winter
S0000049,STN_013,Residential,U03144,2023-01-01 17:05:00,2023-01-01 17:36:42.161516,0.53,32.48,150,17,Sunday,6,True,1,2023-01-01,Winter
S0000088,STN_017,Office_Park,U01662,2023-01-01 17:26:00,2023-01-01 19:28:22.783528,2.04,15.87,22,17,Sunday,6,True,1,2023-01-01,Winter
S0000054,STN_014,Residential,U02890,2023-01-01 17:35:00,2023-01-01 18:58:04.405741,1.38,307.21,7,17,Sunday,6,True,1,2023-01-01,Winter
S0000031,STN_008,Residential,U01075,2023-01-01 17:39:00,2023-01-01 18:17:04.841852,0.63,3.31,11,17,Sunday,6,True,1,2023-01-01,Winter
S0000144,STN_025,Residential,U00328,2023-01-01 17:58:00,2023-01-01 19:04:19.323428,1.11,10.52,22,17,Sunday,6,True,1,2023-01-01,Winter
S0000126,STN_023,Downtown,U03356,2023-01-01 18:01:00,2023-01-01 21:19:41.633335,3.31,18.24,7,18,Sunday,6,True,1,2023-01-01,Winter
S0000023,STN_007,Downtown,U01735,2023-01-01 18:18:00,2023-01-01 20:58:49.729871,2.68,120.0,150,18,Sunday,6,True,1,2023-01-01,Winter
S0000070,STN_015,Residential,U02406,2023-01-01 18:24:00,2023-01-01 19:30:18.530627,1.11,17.49,7,18,Sunday,6,True,1,2023-01-01,Winter
S0000015,STN_004,Office_Park,U02171,2023-01-01 18:26:00,2023-01-01 20:06:28.265436,1.67,66.82,50,18,Sunday,6,True,1,2023-01-01,Winter
S0000068,STN_015,Residential,U00374,2023-01-01 18:28:00,2023-01-02 00:48:08.246585,6.34,21.69,7,18,Sunday,6,True,1,2023-01-01,Winter
S0000124,STN_023,Downtown,U01789,2023-01-01 18:32:00,2023-01-01 19:29:06.288232,0.95,3.93,11,18,Sunday,6,True,1,2023-01-01,Winter
S0000039,STN_010,Downtown,U02317,2023-01-01 18:50:00,2023-01-01 21:13:35.699380,2.39,120.0,150,18,Sunday,6,True,1,2023-01-01,Winter
S0000099,STN_018,Downtown,U00459,2023-01-01 18:51:00,2023-01-01 20:16:43.698052,1.43,17.24,22,18,Sunday,6,True,1,2023-01-01,Winter
S0000006,STN_001,Downtown,U01980,2023-01-01 19:05:00,2023-01-01 19:54:26.296123,0.82,99.41,150,19,Sunday,6,True,1,2023-01-01,Winter
S0000032,STN_008,Residential,U03526,2023-01-01 19:14:00,2023-01-01 20:10:36.897443,0.94,19.0,50,19,Sunday,6,True,1,2023-01-01,Winter
S0000066,STN_015,Residential,U01771,2023-01-01 19:18:00,2023-01-01 20:03:04.235251,0.75,16.99,22,19,Sunday,6,True,1,2023-01-01,Winter
S0000026,STN_008,Residential,U00726,2023-01-01 19:34:00,2023-01-01 21:39:22.291735,2.09,120.0,150,19,Sunday,6,True,1,2023-01-01,Winter
S0000083,STN_016,Residential,U02225,2023-01-01 20:05:00,2023-01-01 23:29:20.057064,3.41,113.88,50,20,Sunday,6,True,1,2023-01-01,Winter
S0000050,STN_013,Residential,U03686,2023-01-01 20:07:00,2023-01-02 08:10:57.080455,12.07,120.0,22,20,Sunday,6,True,1,2023-01-01,Winter
S0000053,STN_014,Residential,U01913,2023-01-01 20:09:00,2023-01-02 10:09:00.000000,14.0,120.0,22,20,Sunday,6,True,1,2023-01-01,Winter
S0000060,STN_014,Residential,U00022,2023-01-01 20:11:00,2023-01-02 01:53:41.849167,5.71,46.25,22,20,Sunday,6,True,1,2023-01-01,Winter
S0000056,STN_014,Residential,U01564,2023-01-01 20:18:00,2023-01-02 04:32:44.023821,8.25,120.0,50,20,Sunday,6,True,1,2023-01-01,Winter
S0000021,STN_006,Highway_Rest_Stop,U01641,2023-01-01 20:31:00,2023-01-02 00:30:21.268430,3.99,120.0,50,20,Sunday,6,True,1,2023-01-01,Winter
S0000051,STN_013,Residential,U03268,2023-01-01 20:46:00,2023-01-02 06:01:29.381039,9.26,81.39,11,20,Sunday,6,True,1,2023-01-01,Winter
S0000119,STN_023,Downtown,U03303,2023-01-01 20:50:00,2023-01-01 21:40:43.564224,0.85,13.38,22,20,Sunday,6,True,1,2023-01-01,Winter
S0000136,STN_024,Highway_Rest_Stop,U01451,2023-01-01 20:54:00,2023-01-01 22:15:29.469132,1.36,5.12,7,20,Sunday,6,True,1,2023-01-01,Winter
S0000063,STN_015,Residential,U03081,2023-01-01 20:55:00,2023-01-02 00:07:51.804759,3.21,8.91,7,20,Sunday,6,True,1,2023-01-01,Winter
S0000085,STN_016,Residential,U01325,2023-01-01 21:21:00,2023-01-02 06:13:14.077565,8.87,75.35,11,21,Sunday,6,True,1,2023-01-01,Winter
S0000086,STN_016,Residential,U01724,2023-01-01 21:28:00,2023-01-02 04:59:39.114330,7.53,120.0,50,21,Sunday,6,True,1,2023-01-01,Winter
S0000077,STN_016,Residential,U03681,2023-01-01 21:31:00,2023-01-02 06:15:05.763013,6.67,46.97,7,21,Sunday,6,True,1,2023-01-01,Winter
S0000073,STN_016,Residential,U02674,2023-01-01 21:38:00,2023-01-02 09:10:12.603171,11.54,52.53,7,21,Sunday,6,True,1,2023-01-01,Winter
S0000146,STN_025,Residential,U00444,2023-01-01 21:44:00,2023-01-02 05:49:50.849679,8.1,49.21,11,21,Sunday,6,True,1,2023-01-01,Winter
S0000048,STN_012,Highway_Rest_Stop,U00201,2023-01-01 21:47:00,2023-01-01 22:46:30.492086,0.99,7.04,11,21,Sunday,6,True,1,2023-01-01,Winter
S0000072,STN_015,Residential,U02188,2023-01-01 22:13:00,2023-01-02 02:46:00.594941,4.55,70.17,22,22,Sunday,6,True,1,2023-01-01,Winter
S0000029,STN_008,Residential,U03013,2023-01-01 22:13:00,2023-01-02 04:28:52.986072,6.26,108.04,22,22,Sunday,6,True,1,2023-01-01,Winter
S0000097,STN_018,Downtown,U02442,2023-01-01 22:40:00,2023-01-02 01:05:02.545956,2.42,21.21,11,22,Sunday,6,True,1,2023-01-01,Winter
S0000095,STN_018,Downtown,U00408,2023-01-01 22:44:00,2023-01-02 01:31:46.629336,2.8,9.15,7,22,Sunday,6,True,1,2023-01-01,Winter
S0000143,STN_024,Highway_Rest_Stop,U02456,2023-01-01 22:45:00,2023-01-02 00:32:30.414366,1.79,120.0,150,22,Sunday,6,True,1,2023-01-01,Winter
S0000055,STN_014,Residential,U00049,2023-01-01 22:49:00,2023-01-02 02:52:09.104162,4.05,25.46,11,22,Sunday,6,True,1,2023-01-01,Winter
S0000047,STN_012,Highway_Rest_Stop,U03986,2023-01-01 22:57:00,2023-01-02 00:17:06.484482,1.34,21.77,22,22,Sunday,6,True,1,2023-01-01,Winter
S0000122,STN_023,Downtown,U02311,2023-01-01 22:59:00,2023-01-02 00:45:01.190710,1.77,10.47,7,22,Sunday,6,True,1,2023-01-01,Winter
S0000061,STN_014,Residential,U03852,2023-01-01 23:00:00,2023-01-02 08:19:00.090755,9.32,120.0,22,23,Sunday,6,True,1,2023-01-01,Winter
S0000059,STN_014,Residential,U03233,2023-01-01 23:01:00,2023-01-02 04:03:37.152139,5.04,26.07,7,23,Sunday,6,True,1,2023-01-01,Winter
S0000027,STN_008,Residential,U03388,2023-01-01 23:55:00,2023-01-02 05:52:35.488802,5.96,48.67,11,23,Sunday,6,True,1,2023-01-01,Winter
S0000067,STN_015,Residential,U03654,2023-01-01 23:56:00,2023-01-02 07:43:38.305678,7.79,94.65,22,23,Sunday,6,True,1,2023-01-01,Winter
S0000020,STN_006,Highway_Rest_Stop,U00464,2023-01-01 23:56:00,2023-01-02 04:37:58.176886,1.81,120.0,50,23,Sunday,6,True,1,2023-01-01,Winter
S0000220,STN_012,Highway_Rest_Stop,U02330,2023-01-02 00:24:00,2023-01-02 02:43:59.034802,2.33,120.0,150,0,Monday,0,False,1,2023-01-02,Winter
S0000192,STN_008,Residential,U00038,2023-01-02 00:33:00,2023-01-02 05:24:16.360983,4.85,11.91,7,0,Monday,0,False,1,2023-01-02,Winter
S0000191,STN_008,Residential,U01802,2023-01-02 00:52:00,2023-01-02 08:36:26.289164,7.74,86.4,22,0,Monday,0,False,1,2023-01-02,Winter
S0000163,STN_003,Residential,U01445,2023-01-02 00:59:00,2023-01-02 06:54:25.124715,5.92,65.32,22,0,Monday,0,False,1,2023-01-02,Winter
S0000182,STN_006,Highway_Rest_Stop,U00888,2023-01-02 01:19:00,2023-01-02 05:45:52.550472,4.45,120.0,50,1,Monday,0,False,1,2023-01-02,Winter
S0000225,STN_014,Residential,U02476,2023-01-02 01:52:00,2023-01-02 11:40:51.328235,9.81,120.0,50,1,Monday,0,False,1,2023-01-02,Winter
S0000171,STN_004,Office_Park,U02818,2023-01-02 01:56:00,2023-01-02 04:40:09.046679,1.86,18.73,11,1,Monday,0,False,1,2023-01-02,Winter
S0000224,STN_014,Residential,U02696,2023-01-02 02:11:00,2023-01-02 09:57:26.239970,7.77,120.0,150,2,Monday,0,False,1,2023-01-02,Winter
S0000229,STN_015,Residential,U03731,2023-01-02 03:21:00,2023-01-02 14:04:46.792510,10.73,32.06,7,3,Monday,0,False,1,2023-01-02,Winter
S0000291,STN_024,Highway_Rest_Stop,U03719,2023-01-02 03:28:00,2023-01-02 08:32:17.736360,5.07,90.82,22,3,Monday,0,False,1,2023-01-02,Winter
S0000227,STN_014,Residential,U01752,2023-01-02 03:32:00,2023-01-02 10:42:37.796286,7.18,120.0,50,3,Monday,0,False,1,2023-01-02,Winter
S0000282,STN_023,Downtown,U00514,2023-01-02 03:53:00,2023-01-02 05:10:09.078093,1.29,9.04,11,3,Monday,0,False,1,2023-01-02,Winter
S0000230,STN_015,Residential,U01044,2023-01-02 05:03:00,2023-01-02 10:21:00.622368,5.3,58.63,22,5,Monday,0,False,1,2023-01-02,Winter
S0000285,STN_023,Downtown,U00121,2023-01-02 05:07:00,2023-01-02 06:20:27.523647,1.22,71.08,150,5,Monday,0,False,1,2023-01-02,Winter
S0000279,STN_023,Downtown,U01770,2023-01-02 05:14:00,2023-01-02 05:52:32.444265,0.64,3.73,7,5,Monday,0,False,1,2023-01-02,Winter
S0000232,STN_015,Residential,U00449,2023-01-02 05:37:00,2023-01-02 09:11:15.370720,3.57,120.0,150,5,Monday,0,False,1,2023-01-02,Winter
S0000166,STN_004,Office_Park,U02966,2023-01-02 06:08:00,2023-01-02 08:46:33.910823,2.64,46.81,22,6,Monday,0,False,1,2023-01-02,Winter
S0000247,STN_017,Office_Park,U03639,2023-01-02 06:10:00,2023-01-02 07:46:17.052266,1.6,8.3,11,6,Monday,0,False,1,2023-01-02,Winter
S0000167,STN_004,Office_Park,U02329,2023-01-02 06:12:00,2023-01-02 08:50:13.569230,2.64,47.95,22,6,Monday,0,False,1,2023-01-02,Winter
S0000241,STN_017,Office_Park,U02910,2023-01-02 06:20:00,2023-01-02 08:43:12.767407,2.39,41.56,22,6,Monday,0,False,1,2023-01-02,Winter
S0000187,STN_007,Downtown,U02595,2023-01-02 06:27:00,2023-01-02 06:54:10.957734,0.45,1.44,7,6,Monday,0,False,1,2023-01-02,Winter
